epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,246.151,1.20904,3.20286,1.40759,0.75091,0.31178,0.26044,0.19372,1.01147,1.56439,1.16802,0.00333026,0.00333026,0.00333026
2,483.698,1.05026,1.85931,1.26495,0.83815,0.39688,0.4311,0.32052,1.03039,1.30918,1.22059,0.00653165,0.00653165,0.00653165
3,717.989,1.06713,1.64936,1.26966,0.71875,0.42116,0.48786,0.35133,1.0262,1.17564,1.19862,0.00960104,0.00960104,0.00960104
4,950.98,1.05315,1.46562,1.25455,0.76275,0.47027,0.5599,0.41504,0.94741,0.92112,1.01265,0.009406,0.009406,0.009406
5,1184.7,1.00426,1.22249,1.20998,0.57058,0.55042,0.58955,0.44109,0.92309,0.88018,1.02347,0.009208,0.009208,0.009208
6,1417.71,0.96814,1.09989,1.1879,0.81315,0.50536,0.6268,0.47742,0.90788,0.70872,0.97579,0.00901,0.00901,0.00901
7,1650.46,0.94088,1.01053,1.1682,0.81159,0.54776,0.62981,0.48701,0.89176,0.68647,0.97669,0.008812,0.008812,0.008812
8,1883.26,0.92637,0.96228,1.15772,0.77807,0.56546,0.62302,0.47841,0.87741,0.67018,0.95524,0.008614,0.008614,0.008614
9,2116.15,0.90446,0.90976,1.14458,0.73715,0.61897,0.66153,0.51315,0.8575,0.66804,0.93161,0.008416,0.008416,0.008416
10,2349.38,0.89962,0.88768,1.13908,0.81119,0.58444,0.6657,0.50946,0.86285,0.6252,0.94775,0.008218,0.008218,0.008218
11,2582.54,0.88327,0.8486,1.13206,0.65002,0.64996,0.71934,0.54801,0.86617,0.66327,0.95158,0.00802,0.00802,0.00802
12,2815.77,0.87029,0.81467,1.12104,0.74718,0.57386,0.71173,0.54906,0.88863,0.57864,0.94193,0.007822,0.007822,0.007822
13,3049.06,0.86909,0.80602,1.11888,0.6809,0.6756,0.68848,0.53871,0.82392,0.58664,0.90208,0.007624,0.007624,0.007624
14,3283.13,0.84992,0.78067,1.11061,0.73723,0.68233,0.74997,0.5859,0.82984,0.52947,0.9073,0.007426,0.007426,0.007426
15,3516.7,0.84792,0.76792,1.10725,0.83069,0.66924,0.73955,0.57348,0.8028,0.51559,0.88213,0.007228,0.007228,0.007228
16,3750.4,0.83848,0.75037,1.10347,0.6871,0.79124,0.77112,0.6079,0.79945,0.56334,0.90297,0.00703,0.00703,0.00703
17,3984.25,0.83087,0.73938,1.09719,0.80236,0.68731,0.77742,0.60675,0.79847,0.55065,0.89148,0.006832,0.006832,0.006832
18,4217.64,0.82486,0.72132,1.09408,0.78623,0.73906,0.79767,0.61587,0.78006,0.5229,0.8696,0.006634,0.006634,0.006634
19,4451.14,0.8214,0.71364,1.09447,0.72718,0.77328,0.79167,0.63401,0.77437,0.51147,0.86847,0.006436,0.006436,0.006436
20,4684.88,0.81926,0.7062,1.09112,0.76143,0.7522,0.77534,0.61569,0.78459,0.5007,0.87457,0.006238,0.006238,0.006238
21,4918.52,0.8047,0.68587,1.08177,0.74859,0.79245,0.79373,0.63159,0.7762,0.49698,0.86584,0.00604,0.00604,0.00604
22,5151.9,0.80387,0.67906,1.08259,0.70758,0.82167,0.80639,0.63147,0.76852,0.49811,0.86174,0.005842,0.005842,0.005842
23,5385.2,0.80121,0.66841,1.08069,0.86019,0.72516,0.79219,0.62843,0.77986,0.48988,0.87485,0.005644,0.005644,0.005644
24,5618.69,0.79361,0.66299,1.07471,0.76599,0.82685,0.82763,0.66217,0.76686,0.47571,0.85428,0.005446,0.005446,0.005446
25,5851.97,0.79067,0.65107,1.07588,0.7754,0.77196,0.82306,0.66189,0.76509,0.52628,0.85454,0.005248,0.005248,0.005248
26,6085.52,0.78033,0.64044,1.06886,0.84312,0.76028,0.81212,0.6481,0.77401,0.48868,0.8568,0.00505,0.00505,0.00505
27,6319.06,0.77635,0.62815,1.06709,0.85487,0.71985,0.82406,0.65531,0.77563,0.50784,0.86149,0.004852,0.004852,0.004852
28,6552.8,0.77089,0.62084,1.06583,0.85376,0.72944,0.79875,0.6367,0.75989,0.44427,0.84925,0.004654,0.004654,0.004654
29,6786.38,0.7693,0.62201,1.06459,0.83758,0.7554,0.83132,0.66248,0.77433,0.47056,0.86189,0.004456,0.004456,0.004456
30,7020.06,0.76384,0.60951,1.06152,0.74723,0.84904,0.84022,0.68029,0.76052,0.49566,0.85516,0.004258,0.004258,0.004258
31,7253.81,0.75791,0.59831,1.05876,0.8446,0.78404,0.8361,0.66555,0.76116,0.48993,0.85156,0.00406,0.00406,0.00406
32,7487.57,0.75419,0.59263,1.05437,0.829,0.76353,0.83207,0.66325,0.76025,0.50368,0.84742,0.003862,0.003862,0.003862
33,7721.47,0.75188,0.59339,1.05669,0.82855,0.7766,0.83147,0.6633,0.7551,0.48592,0.84252,0.003664,0.003664,0.003664
34,7955.37,0.74705,0.58725,1.05319,0.73863,0.86377,0.82042,0.65702,0.75864,0.4936,0.84748,0.003466,0.003466,0.003466
35,8189.07,0.73823,0.57447,1.04941,0.85027,0.75643,0.84092,0.68165,0.75954,0.4885,0.8475,0.003268,0.003268,0.003268
36,8422.89,0.73308,0.56457,1.04494,0.75736,0.85264,0.84386,0.67002,0.75697,0.4711,0.8496,0.00307,0.00307,0.00307
37,8656.63,0.72597,0.5597,1.04179,0.79091,0.77929,0.82679,0.66123,0.75829,0.46943,0.84665,0.002872,0.002872,0.002872
38,8890.18,0.72047,0.54768,1.04019,0.75348,0.85794,0.84423,0.68264,0.76156,0.483,0.84964,0.002674,0.002674,0.002674
39,9123.34,0.71518,0.54163,1.03743,0.7774,0.85166,0.84237,0.6803,0.75352,0.48214,0.84507,0.002476,0.002476,0.002476
40,9356.71,0.71463,0.54089,1.03834,0.78698,0.83837,0.84344,0.68038,0.75021,0.44816,0.84388,0.002278,0.002278,0.002278
41,9589.12,0.73635,0.4218,1.06214,0.79845,0.85032,0.85283,0.68238,0.754,0.43089,0.84553,0.00208,0.00208,0.00208
42,9819.62,0.72252,0.40879,1.05513,0.81587,0.84037,0.85019,0.68047,0.75956,0.43273,0.85054,0.001882,0.001882,0.001882
43,10049.8,0.70911,0.39622,1.04769,0.83375,0.83191,0.84642,0.67746,0.7577,0.4485,0.85481,0.001684,0.001684,0.001684
44,10280.1,0.69825,0.38585,1.04172,0.83206,0.83531,0.85367,0.68065,0.7601,0.4582,0.85815,0.001486,0.001486,0.001486
45,10510.4,0.68602,0.37769,1.03516,0.82562,0.84092,0.85719,0.67913,0.76426,0.45106,0.86045,0.001288,0.001288,0.001288
46,10740.7,0.67563,0.37186,1.03209,0.80553,0.84632,0.85774,0.68292,0.76647,0.45534,0.86352,0.00109,0.00109,0.00109
47,10971,0.66346,0.35828,1.02255,0.81573,0.84579,0.85672,0.68351,0.76705,0.45965,0.86462,0.000892,0.000892,0.000892
48,11201.1,0.65974,0.36057,1.02448,0.8325,0.82728,0.85658,0.67983,0.76938,0.46407,0.86725,0.000694,0.000694,0.000694
49,11430.9,0.64399,0.3473,1.01459,0.84441,0.8245,0.85612,0.68199,0.77116,0.4652,0.86889,0.000496,0.000496,0.000496
50,11661.3,0.63579,0.34135,1.01176,0.84668,0.82241,0.85578,0.68276,0.77195,0.46801,0.87108,0.000298,0.000298,0.000298
