epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,247.842,1.21713,3.05307,1.42223,0.65188,0.33529,0.29336,0.22072,0.99456,1.3871,1.17954,0.000107567,0.000107567,0.000107567
2,487.016,0.98003,1.63859,1.23038,0.73384,0.44346,0.50601,0.38531,0.92079,1.00549,1.04013,0.00020458,0.00020458,0.00020458
3,722.112,0.94651,1.30731,1.19031,0.85466,0.48011,0.58597,0.44001,0.94672,0.88443,1.02845,0.000290933,0.000290933,0.000290933
4,956.729,0.91403,1.12434,1.1653,0.75671,0.53897,0.60774,0.46768,0.90307,0.79126,0.97754,0.000275035,0.000275035,0.000275035
5,1191.71,0.88803,1.00366,1.14407,0.77519,0.56913,0.63897,0.49092,0.88027,0.70897,0.96844,0.000259046,0.000259046,0.000259046
6,1426.88,0.8683,0.93034,1.13053,0.86017,0.55377,0.64996,0.50554,0.84979,0.63616,0.94387,0.000243057,0.000243057,0.000243057
7,1663.41,0.84918,0.87578,1.11873,0.84902,0.57131,0.67344,0.52264,0.84847,0.60247,0.92369,0.000227069,0.000227069,0.000227069
8,1899.81,0.83999,0.84213,1.11175,0.8545,0.5764,0.669,0.51902,0.82794,0.65431,0.92439,0.00021108,0.00021108,0.00021108
9,2135.11,0.82237,0.79779,1.10162,0.83085,0.61375,0.72964,0.56993,0.80694,0.5956,0.90483,0.000195092,0.000195092,0.000195092
10,2370.6,0.81989,0.77391,1.0989,0.83933,0.61983,0.72793,0.5762,0.83867,0.52594,0.91771,0.000179103,0.000179103,0.000179103
11,2604.3,0.84329,0.62377,1.12837,0.80864,0.67256,0.7261,0.57732,0.80387,0.50414,0.88731,0.000163115,0.000163115,0.000163115
12,2837.75,0.82909,0.58302,1.12098,0.81316,0.67079,0.73974,0.57815,0.80122,0.51006,0.88089,0.000147126,0.000147126,0.000147126
13,3071.02,0.80949,0.55314,1.10642,0.84568,0.66115,0.77526,0.62166,0.78841,0.505,0.87514,0.000131138,0.000131138,0.000131138
14,3303.73,0.79787,0.53003,1.10057,0.82543,0.67948,0.74322,0.59017,0.79871,0.50578,0.88222,0.000115149,0.000115149,0.000115149
15,3536.77,0.78632,0.51086,1.09238,0.80503,0.7352,0.74837,0.60182,0.79917,0.48742,0.87583,9.9161e-05,9.9161e-05,9.9161e-05
16,3768.41,0.76862,0.48505,1.08229,0.74543,0.76289,0.77131,0.61239,0.80743,0.48575,0.89684,8.31725e-05,8.31725e-05,8.31725e-05
17,3999.79,0.75787,0.47455,1.07705,0.82527,0.72539,0.76835,0.61114,0.78682,0.47399,0.87438,6.7184e-05,6.7184e-05,6.7184e-05
18,4232.51,0.7446,0.45729,1.06971,0.82445,0.71808,0.76625,0.60708,0.79433,0.47755,0.87521,5.11955e-05,5.11955e-05,5.11955e-05
19,4464.34,0.72965,0.4445,1.06232,0.80978,0.7315,0.78054,0.61723,0.79368,0.47411,0.87987,3.5207e-05,3.5207e-05,3.5207e-05
20,4696.19,0.7182,0.42874,1.05167,0.81007,0.72581,0.77253,0.61295,0.79255,0.46919,0.87724,1.92185e-05,1.92185e-05,1.92185e-05
